# x_m,y_m,w_tr_right_m,w_tr_left_m
53.83998,35.08987,5.0,5.0
53.84045,33.0373,5.0,5.0
53.84062,31.00158,5.0,5.0
53.838,28.95679,5.0,5.0
53.83218,26.9242,5.0,5.0
53.82734,24.85976,5.0,5.0
53.87297,22.78736,5.0,5.0
53.92623,20.76981,5.0,5.0
53.96581,18.73927,5.0,5.0
54.01905,16.65834,5.0,5.0
54.14199,14.65269,5.0,5.0
54.26471,12.5642,5.0,5.0
54.35113,10.4791,5.0,5.0
54.39323,8.420476,5.0,5.0
54.38171,6.417628,5.0,5.0
54.29959,4.35395,5.0,5.0
54.07382,2.261268,5.0,5.0
53.75903,0.259524,5.0,5.0
53.35128,-1.75168,5.0,5.0
52.82637,-3.773296,5.0,5.0
52.15512,-5.723729,5.0,5.0
51.32339,-7.598162,5.0,5.0
50.2485,-9.272693,5.0,5.0
48.86179,-10.7453,5.0,5.0
47.20793,-11.86736,5.0,5.0
45.30838,-12.61039,5.0,5.0
43.33969,-13.0393,5.0,5.0
41.30851,-13.25669,5.0,5.0
39.24647,-13.31626,5.0,5.0
37.25325,-13.22728,5.0,5.0
35.25426,-13.03048,5.0,5.0
33.13187,-12.7271,5.0,5.0
31.06569,-12.38966,5.0,5.0
29.09205,-12.0643,5.0,5.0
27.07042,-11.69576,5.0,5.0
25.0475,-11.25297,5.0,5.0
23.02714,-10.73537,5.0,5.0
21.00509,-10.18428,5.0,5.0
18.97264,-9.617866,5.0,5.0
16.94983,-9.017228,5.0,5.0
14.96993,-8.357965,5.0,5.0
13.03975,-7.628412,5.0,5.0
11.1687,-6.834287,5.0,5.0
9.368822,-5.943431,5.0,5.0
7.510129,-4.851129,5.0,5.0
5.794705,-3.615033,5.0,5.0
4.220772,-2.267324,5.0,5.0
2.778756,-0.8309172,5.0,5.0
1.409749,0.8105671,5.0,5.0
0.338773,2.551711,5.0,5.0
-0.4027061,4.486016,5.0,5.0
-0.7199788,6.535443,5.0,5.0
-0.8087735,8.678185,5.0,5.0
-0.8915195,10.8028,5.0,5.0
-0.82448,12.90443,5.0,5.0
-0.4725117,14.9879,5.0,5.0
0.1968464,16.99162,5.0,5.0
1.089139,18.78376,5.0,5.0
